Filename,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precison@k,RangeAUC
ts1,0.5396695630546059,0.3,0.011050537792839252,0.02131590166264033,0.20794837092630736,1.0,0.009935463657884159,0.28735632183908044,0.24128694871912665,0.011050537792839252,0.6053826400228757
ts2,0.5627723093377139,0.28716216216216217,0.01016381681214875,0.019632752049890286,0.15462932982799177,0.75,0.005786662284989694,0.29213483146067415,0.2022212931219887,0.01016381681214875,0.623820422507167
ts3,0.9442268040274834,0.23809523809523808,0.16574585635359115,0.19543973941368079,0.24419889502762432,1.0,0.055248618784530384,0.3333333333333333,0.28188775510204084,0.16574585635359115,0.8588284622244136
ts4,0.5390687450039968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7234668270501586
ts5,0.5218280491517591,0.12301587301587301,0.025963149078726967,0.042876901798063624,0.10463304543014687,0.45454545454545453,0.017154943151319962,0.1298245614035088,0.11587544046647068,0.025963149078726967,0.7190337513831646
ts6,0.5207256407699257,0.22105263157894736,0.009266068539491102,0.017786561264822136,0.1033532305604774,0.5,0.0041915382005967335,0.2948717948717949,0.15305895237540557,0.009266068539491102,0.5914402871817226
ts7,0.41813130883176175,0.10714285714285714,0.009569377990430622,0.017569546120058562,0.02881697798824871,0.1111111111111111,0.008243444707533104,0.13333333333333333,0.04739138272940329,0.009569377990430622,0.5586703568799583
ts8,0.17352567081572412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27428081867864995
ts9,0.719609968233187,0.2964824120603015,0.030890052356020943,0.0559506875296349,0.13174914008984998,0.36363636363636365,0.07377733420322156,0.30749250749250745,0.18446280615325153,0.030890052356020943,0.8354561557447231
ts10,0.3994241142198807,0.24509803921568626,0.019825535289452814,0.03668378576669112,0.08965459841864336,0.4,0.012068248023304202,0.06896551724137931,0.07796080247807081,0.019825535289452814,0.4701800300798479
ts11,0.5615919400276942,0.96,0.0446927374301676,0.08540925266903915,0.20275032230339493,1.0,0.003437902879243662,0.9285714285714286,0.33282866926053145,0.0446927374301676,0.5877837153139065
ts12,0.547870746480105,0.4,0.015121064216671452,0.029140538546661748,0.012492231676613081,0.0547945205479452,0.0019166594587800472,0.41582125603864734,0.024255764132967567,0.015121064216671452,0.6962570769012065
ts13,0.6459269016747304,0.7409766454352441,0.01593934826790893,0.031207386046095725,0.08848898514009444,0.4121212121212121,0.007580928394815001,0.7086614173228346,0.15733224102525573,0.01593934826790893,0.6589888373525893
ts14,0.49284944142070375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206568774553065
ts15,0.5990155086588514,0.22321428571428573,0.022482014388489208,0.04084967320261438,0.2139107760331047,1.0,0.017388470041380874,0.09090909090909091,0.12759295763694703,0.022482014388489208,0.6141801315219084
